Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
179,K7DAV,147.040000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
180,W7BAR,147.040000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
181,K7SDC,147.060000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
182,N7AKK,147.060000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
183,W7DES,147.060000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
184,WX7Y,147.080000,+,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
185,K7SDC,147.080000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
186,K7SDC,147.080000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
187,N7GGN,147.100000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
188,KB7ZCL,147.100000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
189,W7BAR,147.100000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
190,K7JL,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
191,K7SDC,147.140000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
192,K7MLA,147.140000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
193,K7HEN,147.160000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
194,N7NKK,147.160000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
195,WA7SNS,147.160000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
196,N7SGV,147.180000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
197,K7JL,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
198,AC7O,147.200000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
199,N7ZOI,147.200000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
200,K7GX,147.200000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
201,W7EO,147.200000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
202,WA7YZR,147.220000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
203,K7UB,147.220000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
204,K7HEN,147.240000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
205,N7RRZ,147.240000,+,0.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
206,N7PQD,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
207,N7WPF,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
208,AC7O,147.260000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
209,K7SG,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
210,AD7ZW,147.280000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
211,K7UCS,147.280000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
212,W7EO,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
213,KA7FAP,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
214,K7SDC,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
215,K7UCS,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
216,KG7DSO,147.340000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
217,WA7GIE,147.360000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
218,WI7M,147.360000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
219,KB7WQD,147.380000,+,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
220,WB7TSQ,147.380000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
221,WA7GIE,147.380000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
222,WA7GIE,433.600000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
223,KE7QGT,447.000000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
225,NV7V,447.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
226,W0HU,447.025000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
227,AH2S,447.050000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
230,N7FQ,447.075000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
231,KG7EGM,447.100000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
232,K7QEQ,447.100000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
233,K7YI,447.125000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
234,K7UCA,447.125000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
236,KR7K,447.150000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
237,W7SAR,447.175000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
238,K7DAV,447.200000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
239,KE7LMG,447.250000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
240,K7MRS,447.250000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
241,K7UCA,447.275000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
242,WB7RPF,447.300000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
243,N7SGV,447.325000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
244,N7KYY,447.325000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
245,N7CRG,447.350000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
